발생월,시도,시군구,사망자수,중상자수,경상자수,부상신고자수,cnt_minor,cnt_serious,cnt_fatal,total_cnt,ratio_0,ratio_1,ratio_2
1.0,강원,강릉시,11,117,408,15,423,117,11,551,0.7676950998185118,0.21234119782214156,0.019963702359346643
1.0,강원,고성군,1,28,46,4,50,28,1,79,0.6329113924050633,0.35443037974683544,0.012658227848101266
1.0,강원,동해시,3,51,160,3,163,51,3,217,0.7511520737327189,0.2350230414746544,0.013824884792626729
1.0,강원,삼척시,2,42,120,0,120,42,2,164,0.7317073170731707,0.25609756097560976,0.012195121951219513
1.0,강원,속초시,1,70,214,9,223,70,1,294,0.7585034013605442,0.23809523809523808,0.003401360544217687
1.0,강원,양구군,1,13,28,7,35,13,1,49,0.7142857142857143,0.2653061224489796,0.02040816326530612
1.0,강원,양양군,7,33,68,8,76,33,7,116,0.6551724137931034,0.28448275862068967,0.0603448275862069
1.0,강원,영월군,2,26,50,18,68,26,2,96,0.7083333333333334,0.2708333333333333,0.020833333333333332
1.0,강원,원주시,9,256,1028,58,1086,256,9,1351,0.8038490007401925,0.18948926720947445,0.006661732050333087
1.0,강원,인제군,4,31,26,1,27,31,4,62,0.43548387096774194,0.5,0.06451612903225806
1.0,강원,정선군,2,31,80,2,82,31,2,115,0.7130434782608696,0.26956521739130435,0.017391304347826087
1.0,강원,철원군,2,24,53,2,55,24,2,81,0.6790123456790124,0.2962962962962963,0.024691358024691357
1.0,강원,춘천시,8,146,669,89,758,146,8,912,0.831140350877193,0.1600877192982456,0.008771929824561403
1.0,강원,태백시,2,13,93,2,95,13,2,110,0.8636363636363636,0.11818181818181818,0.01818181818181818
1.0,강원,평창군,0,33,144,10,154,33,0,187,0.8235294117647058,0.17647058823529413,0.0
1.0,강원,홍천군,4,46,188,9,197,46,4,247,0.7975708502024291,0.1862348178137652,0.016194331983805668
1.0,강원,화천군,3,16,67,5,72,16,3,91,0.7912087912087912,0.17582417582417584,0.03296703296703297
1.0,강원,횡성군,5,46,66,6,72,46,5,123,0.5853658536585366,0.37398373983739835,0.04065040650406504
